PlateName	Plate	Well	Content	siRNAID	GeneID	LocusID	Accession
P1	1	M19	NA	NA	NA	NA	NA
P1	1	M20	NA	NA	NA	NA	NA
P1	1	M21	NA	NA	NA	NA	NA
P1	1	M22	NA	NA	NA	NA	NA
P1	1	M23	NA	NA	NA	NA	NA
P1	1	M24	NA	NA	NA	NA	NA
P1	1	N01	NA	NA	NA	NA	NA
P1	1	N02	NA	NA	NA	NA	NA
P1	1	N03	NA	NA	NA	NA	NA
P1	1	N04	NA	NA	NA	NA	NA
P1	1	N05	NA	NA	NA	NA	NA
P1	1	N06	NA	NA	NA	NA	NA
P1	1	N07	NA	NA	NA	NA	NA
P1	1	N08	NA	NA	NA	NA	NA
P1	1	N09	NA	NA	NA	NA	NA
P1	1	N10	NA	NA	NA	NA	NA
P1	1	N11	NA	NA	NA	NA	NA
P1	1	N12	NA	NA	NA	NA	NA
P1	1	N13	NA	NA	NA	NA	NA
P1	1	N14	NA	NA	NA	NA	NA
P1	1	N15	NA	NA	NA	NA	NA
P1	1	N16	NA	NA	NA	NA	NA
P1	1	N17	NA	NA	NA	NA	NA
P1	1	N18	NA	NA	NA	NA	NA
P1	1	N19	NA	NA	NA	NA	NA
P1	1	N20	NA	NA	NA	NA	NA
P1	1	N21	NA	NA	NA	NA	NA
P1	1	N22	NA	NA	NA	NA	NA
P1	1	N23	NA	NA	NA	NA	NA
P1	1	N24	NA	NA	NA	NA	NA
P1	1	O01	NA	NA	NA	NA	NA
P1	1	O02	NA	NA	NA	NA	NA
P1	1	O03	NA	NA	NA	NA	NA
P1	1	O04	NA	NA	NA	NA	NA
P1	1	O05	NA	NA	NA	NA	NA
P1	1	O06	NA	NA	NA	NA	NA
P1	1	O07	NA	NA	NA	NA	NA
P1	1	O08	NA	NA	NA	NA	NA
P1	1	O09	NA	NA	NA	NA	NA
P1	1	O10	NA	NA	NA	NA	NA
P1	1	O11	NA	NA	NA	NA	NA
P1	1	O12	NA	NA	NA	NA	NA
P1	1	O13	NA	NA	NA	NA	NA
P1	1	O14	NA	NA	NA	NA	NA
P1	1	O15	NA	NA	NA	NA	NA
